iter	Passed	Remaining
0	68	34236
1	75	18745
2	82	13597
3	91	11312
4	98	9711
5	104	8591
6	111	7865
7	118	7313
8	126	6918
9	134	6577
10	141	6285
11	148	6043
12	155	5828
13	162	5642
14	169	5496
15	178	5386
16	185	5263
17	191	5137
18	199	5044
19	205	4937
20	212	4845
21	220	4782
22	227	4719
23	234	4652
24	242	4609
25	249	4547
26	256	4492
27	263	4448
28	270	4392
29	276	4329
30	283	4288
31	290	4255
32	298	4220
33	306	4198
34	312	4154
35	319	4120
36	326	4085
37	333	4057
38	341	4031
39	348	4005
40	352	3949
41	359	3918
42	365	3886
43	372	3864
44	380	3845
45	387	3825
46	394	3802
47	401	3784
48	409	3765
49	416	3751
50	423	3731
51	431	3718
52	439	3706
53	445	3683
54	452	3663
55	460	3649
56	467	3637
57	474	3618
58	482	3603
59	488	3583
60	495	3566
61	502	3552
62	508	3529
63	515	3513
64	522	3496
65	530	3486
66	536	3470
67	544	3456
68	551	3441
69	557	3425
70	564	3408
71	571	3397
72	578	3386
73	585	3368
74	592	3354
75	599	3343
76	606	3332
77	612	3315
78	620	3308
79	626	3290
80	634	3281
81	641	3268
82	648	3256
83	655	3244
84	661	3230
85	669	3220
86	675	3208
87	683	3198
88	689	3186
89	696	3172
90	703	3161
91	711	3153
92	718	3142
93	724	3129
94	731	3118
95	737	3105
96	744	3094
97	751	3080
98	757	3069
99	763	3055
100	770	3043
101	776	3031
102	783	3021
103	790	3009
104	797	2998
105	804	2990
106	810	2977
107	817	2965
108	825	2959
109	832	2949
110	838	2939
111	845	2929
112	852	2919
113	859	2909
114	866	2901
115	872	2889
116	879	2879
117	886	2868
118	893	2860
119	899	2849
120	906	2839
121	914	2832
122	920	2821
123	927	2811
124	934	2802
125	940	2791
126	947	2782
127	954	2774
128	961	2766
129	969	2758
130	975	2748
131	982	2739
132	989	2729
133	996	2720
134	1003	2713
135	1010	2705
136	1017	2696
137	1025	2689
138	1031	2680
139	1039	2672
140	1046	2665
141	1053	2656
142	1060	2646
143	1067	2638
144	1073	2628
145	1080	2619
146	1087	2611
147	1094	2602
148	1101	2594
149	1109	2588
150	1116	2581
151	1123	2571
152	1130	2563
153	1137	2555
154	1144	2546
155	1151	2539
156	1158	2531
157	1165	2522
158	1172	2515
159	1179	2506
160	1185	2496
161	1192	2487
162	1199	2479
163	1207	2473
164	1214	2465
165	1222	2460
166	1229	2451
167	1236	2443
168	1244	2437
169	1251	2428
170	1259	2422
171	1266	2414
172	1272	2405
173	1278	2396
174	1286	2388
175	1293	2380
176	1299	2372
177	1306	2363
178	1313	2355
179	1320	2347
180	1327	2338
181	1333	2330
182	1340	2321
183	1347	2313
184	1354	2305
185	1361	2297
186	1368	2290
187	1375	2283
188	1382	2274
189	1388	2265
190	1395	2257
191	1402	2250
192	1409	2241
193	1415	2233
194	1423	2226
195	1430	2218
196	1437	2210
197	1443	2201
198	1451	2195
199	1458	2187
200	1465	2180
201	1473	2174
202	1480	2165
203	1487	2158
