iter	Passed	Remaining
0	5	23859
1	12	25070
2	17	23721
3	24	24159
4	29	23465
5	34	23146
6	44	25163
7	49	24531
8	54	24278
9	61	24585
10	67	24428
11	72	24246
12	80	24707
13	85	24483
14	92	24452
15	99	24677
16	104	24542
17	111	24588
18	117	24648
19	122	24432
20	128	24285
21	135	24451
22	141	24467
23	146	24334
24	154	24490
25	160	24484
26	165	24426
27	174	24773
28	180	24746
29	185	24564
30	192	24644
31	198	24589
32	203	24508
33	210	24552
34	216	24474
35	221	24373
36	226	24311
37	232	24233
38	237	24168
39	245	24352
40	251	24295
41	257	24232
42	263	24290
43	269	24213
44	275	24175
45	281	24215
46	287	24144
47	292	24099
48	299	24173
49	305	24135
50	312	24158
51	319	24240
52	324	24178
53	330	24154
54	337	24235
55	344	24281
56	350	24258
57	357	24273
58	362	24185
59	367	24143
60	375	24228
61	380	24190
62	386	24148
63	393	24189
64	399	24155
65	404	24132
66	412	24219
67	418	24187
68	423	24148
69	430	24188
70	436	24175
71	442	24155
72	450	24230
73	455	24190
74	461	24158
75	468	24187
76	473	24140
77	480	24157
78	487	24186
79	493	24166
80	499	24154
81	506	24188
82	512	24180
83	518	24184
84	525	24208
85	530	24154
86	536	24120
87	543	24179
88	549	24144
89	554	24105
90	561	24121
91	567	24091
92	572	24055
93	581	24153
94	586	24116
95	591	24056
96	598	24080
97	604	24057
98	610	24038
99	616	24060
100	622	24039
101	628	24034
102	637	24131
103	643	24091
104	649	24106
105	656	24110
106	661	24076
107	667	24044
108	674	24062
109	681	24104
110	687	24071
111	693	24077
112	699	24048
113	704	24028
114	713	24091
115	718	24071
116	724	24048
117	732	24082
118	738	24081
119	744	24059
120	752	24114
121	757	24071
122	763	24065
123	771	24112
124	777	24095
125	784	24127
126	792	24164
127	798	24146
128	803	24120
129	811	24156
130	818	24178
131	824	24166
132	832	24204
133	838	24196
134	844	24166
135	852	24215
136	857	24185
137	864	24179
138	871	24205
139	877	24188
140	883	24193
141	892	24246
142	897	24220
143	903	24191
144	911	24227
145	917	24214
146	923	24216
147	930	24225
148	937	24228
149	943	24223
150	949	24213
151	957	24248
152	963	24234
153	969	24215
154	976	24235
155	982	24213
156	991	24274
157	1008	24512
158	1014	24502
159	1019	24464
160	1026	24469
161	1031	24446
162	1039	24466
163	1045	24459
164	1052	24451
165	1059	24479
166	1066	24469
167	1071	24438
168	1079	24462
169	1085	24457
170	1092	24458
171	1097	24432
172	1103	24403
173	1109	24393
174	1114	24370
175	1123	24408
176	1129	24404
177	1135	24382
178	1141	24372
179	1147	24357
180	1154	24350
181	1160	24344
182	1168	24363
183	1173	24341
184	1179	24318
185	1187	24349
186	1193	24342
187	1199	24323
188	1205	24312
189	1213	24336
190	1220	24336
191	1226	24325
192	1233	24328
193	1239	24308
194	1244	24292
195	1251	24294
196	1260	24333
197	1267	24329
198	1272	24309
199	1279	24318
200	1285	24305
201	1293	24313
202	1299	24314
203	1306	24320
204	1313	24317
205	1319	24300
206	1328	24337
207	1334	24324
208	1340	24311
209	1346	24297
210	1352	24292
211	1361	24320
212	1367	24314
213	1373	24307
214	1381	24313
215	1387	24304
216	1394	24304
217	1400	24295
218	1408	24310
219	1414	24299
220	1420	24286
221	1428	24308
222	1433	24283
223	1439	24272
224	1445	24254
225	1453	24270
226	1460	24268
227	1465	24251
228	1473	24265
229	1479	24247
230	1485	24232
231	1492	24248
232	1499	24239
233	1505	24224
234	1513	24254
235	1519	24234
236	1525	24216
237	1531	24213
238	1542	24280
239	1548	24262
240	1554	24247
241	1560	24232
242	1567	24228
243	1572	24212
244	1579	24201
245	1584	24184
246	1592	24203
247	1598	24187
248	1605	24178
249	1611	24170
250	1617	24166
251	1624	24164
252	1630	24146
253	1636	24132
254	1643	24134
255	1649	24117
256	1654	24093
257	1661	24098
258	1668	24102
259	1674	24087
260	1680	24079
261	1689	24104
262	1697	24123
263	1704	24123
264	1712	24135
265	1719	24133
266	1727	24158
